Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL4781815;;0;502.38;1;4.06;L41;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccc(Cl)cc2Cl)CC1;Inhibition;'=';66.5;%;;;;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4762640;;0;779.09;1;2.72;L55;COC(=O)c1ccc(CN2CCC(O)(Cn3cnc4c(-c5ccc(CN)cc5)n(C)nc4c3=O)CC2)c(Cl)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL4687476;Inhibition of USP7 in human RS4-11 cells assessed as increase in p21 at 0.1 to 1 uM incubated for 24 hrs by Western blot analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;Blood;RS4-11;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose_Lower = 0.1 microM | Dose_Upper = 1.0 microM | TIME = 24.0 hr
CHEMBL4632475;;0;469.99;0;4.70;25;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OC1CCNCC1;IC50;'=';8.0;nM;8.10;;;UO_0000065;17.23;0.35;3.40;11.32;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4641569;;0;473.96;0;4.26;23;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1O[C@@H]1CNC[C@@H]1F;EC50;'=';560.0;nM;6.25;;;UO_0000065;13.19;0.27;1.99;8.74;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4641424;;0;358.83;0;1.72;7;Nc1cc(-c2cc(Cl)cc3c2OC(C(=O)N2CCNCC2)C3)ccn1;IC50;'=';5600.0;nM;5.25;;;UO_0000065;14.64;0.29;3.53;6.53;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4529848;;0;535.71;2;5.16;31;CC(C)(C)NS(=O)(=O)c1cccc2c(NC(=O)[C@H](Cc3ccccc3)NC(=O)C3CCCCC3)cccc12;Inhibition;'<';30.0;%;;;;UO_0000187;;;;;0;CHEMBL4674647;Inhibition of USP7 (unknown origin) at 10 uM relative to control;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4673213;1;Scientific Literature;Bioorg Med Chem Lett;2018;None;Dose = 10.0 microM
CHEMBL1229517;VEMURAFENIB;4;489.93;1;5.54;Vemurafenib;CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4422107;Inhibition of Usp7 in human SK-MEL-28 cells assessed as reduction in DUB activity by HA blotting;B;BAO_0000219;cell-based format;Homo sapiens;None;None;SK-MEL-28;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4421725;38;Patent Bioactivity Data;;;CHEMBL3308494;
CHEMBL510492;XESTOQUINONE;0;318.33;0;3.40;42;C[C@@]12CCCc3coc(c31)C(=O)c1cc3c(cc12)C(=O)C=CC3=O;IC50;'=';130.0;nM;6.89;;;UO_0000065;21.63;0.39;3.49;10.70;0;CHEMBL4119773;Inhibition of human recombinant 6His-tagged USP7 using Ub-Rh110 as substrate preincubated for 30 mins followed by substrate addition measured after 180 mins by fluorometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4126079;;0;948.94;3;8.42;44;C[C@@]12CCCc3coc(c31)C(=O)c1cc3c(=O)c4c(c(=O)c3cc12)c1c(=O)c2cc3c(cc2c(=O)c1c1c(=O)c2cc5c(cc2c(=O)c41)[C@]1(C)CCCc2coc(c21)C5=O)[C@]1(C)CCCc2coc(c21)C3=O;IC50;'=';750.0;nM;6.12;;;UO_0000065;6.45;0.12;-2.30;3.17;0;CHEMBL4119773;Inhibition of human recombinant 6His-tagged USP7 using Ub-Rh110 as substrate preincubated for 30 mins followed by substrate addition measured after 180 mins by fluorometric analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4435850;;0;293.32;0;3.88;C17;NCc1ccc(OC(=O)Oc2ccc3ccccc3c2)cc1;Activity;;;;;;Active;;;;;;0;CHEMBL4372647;Inhibition of USP7 in human MCF7 cells assessed as increase in p53 expression after 4 to 48 hrs by Western blot analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;None;MCF7;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4371052;1;Scientific Literature;Bioorg Med Chem Lett;2019;CHEMBL3308403;
CHEMBL4076247;;0;330.39;0;4.14;28;CCc1c(-c2ccc3[nH]ncc3c2)cnc(N)c1-c1ccc(O)cc1;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL4033118;Inhibition of USP7 in human EOL-1 cells assessed as upregulation of p21 levels at 1.3 to 5 uM after 4 hrs by Western blot analysis relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4764026;;0;546.34;1;2.75;L7;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(c2ncccc2I)CC1;Inhibition;'=';39.3;%;;;;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4776068;;0;447.51;0;3.06;L33;Cc1ccccc1CN1CCC(O)(Cn2cnc3c(cnn3-c3ccc(F)cc3)c2=O)CC1;Inhibition;'=';31.8;%;;;;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4641037;;0;382.85;0;2.62;9;O=C([C@H]1Cc2cc(Cl)cc(-c3ccnc4[nH]ccc34)c2O1)N1CCNCC1;IC50;'=';450.0;nM;6.35;;;UO_0000065;16.58;0.32;3.73;9.03;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4638998;;0;509.08;2;5.23;33;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1NC1CCCNC1;IC50;'=';0.78;nM;9.11;;;UO_0000065;17.89;0.36;3.88;12.25;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4640002;;0;511.00;1;3.00;18;O=C([C@H]1Cc2cc(Cl)cc(-c3ccnc4cc(CN5C(=O)CCC5=O)sc34)c2O1)N1CCNCC1;IC50;'=';0.18;nM;9.74;;;UO_0000065;19.07;0.38;6.74;10.61;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4092976;;0;348.41;0;3.02;27;CCc1c(-c2ccc(C(=O)NC)nc2)cnc(N)c1-c1ccc(O)cc1;EC50;'=';2580.0;nM;5.59;;;UO_0000065;16.04;0.29;2.57;5.53;0;CHEMBL4033116;Inhibition of USP7 in human SJSA cells assessed as increase in ubiquitinated MDM2 level after 16 hrs in presence of MG132 by MSD assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4076247;;0;330.39;0;4.14;28;CCc1c(-c2ccc3[nH]ncc3c2)cnc(N)c1-c1ccc(O)cc1;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL4033117;Inhibition of USP7 in human EOL-1 cells assessed as increase in p53 levels at 1.3 to 5 uM after 4 hrs by Western blot analysis relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4079672;;0;262.28;0;2.65;8;Oc1ccc(-c2ncc(C3CCNCC3)o2)c(F)c1;IC50;'=';18400.0;nM;4.74;;;UO_0000065;18.05;0.34;2.09;8.12;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4092976;;0;348.41;0;3.02;27;CCc1c(-c2ccc(C(=O)NC)nc2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';1340.0;nM;5.87;;;UO_0000065;16.86;0.31;2.85;5.81;1;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL3233814;;0;390.50;1;5.07;3j;C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2ccc(F)cc2)CC1;Inhibition;'<';10.0;%;;;;UO_0000187;;;;;0;CHEMBL3239925;Inhibition of human USP7 using Ub-rhodamine 110 as substrate at 31 uM;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL3232931;1;Scientific Literature;J. Med. Chem.;2014;None;
CHEMBL4643800;;0;429.93;0;2.84;12;O=C([C@H]1Cc2cc(Cl)cc(-c3ccnc4cc(CO)sc34)c2O1)N1CCNCC1;IC50;'=';43.0;nM;7.37;;;UO_0000065;17.13;0.35;4.53;9.86;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4638688;;0;483.04;0;4.37;36;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1CN1CCNC[C@@H]1C;IC50;'=';6.6;nM;8.18;;;UO_0000065;16.94;0.34;3.81;12.48;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4642862;;0;510.06;2;5.20;32;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1OC1CCCNC1;IC50;'=';2.4;nM;8.62;;;UO_0000065;16.90;0.34;3.42;12.05;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4647217;;0;510.06;1;4.60;41;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1C[C@@H]1CNCCO1;EC50;'=';25.0;nM;7.60;;;UO_0000065;14.90;0.30;3.00;10.63;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4125810;;0;528.42;2;5.91;24;CC1=CS(=O)(=O)c2cc(NC(=O)c3cc([N+](=O)[O-])c(Sc4c(Cl)cncc4Cl)s3)ccc21;IC50;'=';170.0;nM;6.77;;;UO_0000065;12.81;0.29;0.86;5.68;0;CHEMBL4119768;Inhibition of USP7 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4127757;;0;408.50;0;2.60;28;CC(CC(=O)N1CCC(O)(C(C)n2cnn3cccc3c2=O)CC1)c1ccccc1;IC50;'=';200.0;nM;6.70;;;UO_0000065;16.40;0.30;4.10;8.39;0;CHEMBL4119770;Inhibition of USP7 (unknown origin) using Ub-Rh110 as substrate by fluorescence based assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4128728;;0;344.42;0;4.15;34;CCc1c(-c2ccc3c(cnn3C)c2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';2000.0;nM;5.70;;;UO_0000065;16.55;0.30;1.55;7.41;0;CHEMBL4119772;Inhibition of USP7 in human SJSA cells assessed as increase in ubiquitinated MDM2 level after 20 hrs in presence of MG132 by MSD assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;SJSA;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4118084;1;Scientific Literature;J Med Chem;2018;None;
CHEMBL4069137;;0;259.31;0;2.25;2;CN1CCC(c2noc(-c3ccc(O)cc3)n2)CC1;IC50;'=';79200.0;nM;4.10;;;UO_0000065;15.82;0.29;1.85;6.57;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4102930;;0;290.37;0;4.27;24;CCc1c(-c2ccccc2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';9600.0;nM;5.02;;;UO_0000065;17.28;0.31;0.75;8.48;0;CHEMBL4033115;Inhibition of native full length C-terminal USP7 (unknown origin) using ubiquitin-Rho110 as substrate pre-incubated for 1 hr followed by substrate addition by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4076247;;0;330.39;0;4.14;28;CCc1c(-c2ccc3[nH]ncc3c2)cnc(N)c1-c1ccc(O)cc1;EC50;'=';300.0;nM;6.52;;;UO_0000065;19.74;0.36;2.38;7.43;0;CHEMBL4033116;Inhibition of USP7 in human SJSA cells assessed as increase in ubiquitinated MDM2 level after 16 hrs in presence of MG132 by MSD assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL1229517;VEMURAFENIB;4;489.93;1;5.54;Vemurafenib;CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4422108;Inhibition of Usp7 in human A375 cells assessed as reduction in DUB activity by HA blotting;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4421725;38;Patent Bioactivity Data;;;None;
CHEMBL4092836;;0;350.21;0;4.11;C7;CC(=O)c1nc([N+](=O)[O-])c(Sc2c(Cl)cncc2Cl)s1;IC50;'=';670.0;nM;6.17;;;UO_0000065;17.63;0.42;2.06;7.18;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4217374;;0;426.51;1;5.04;1, Mixture of diastereomer;CC1=C(O)/C(=C/C(C)CCC/C(C)=C/CCC2=CC(=O)[C@@H](c3ccoc3)[C@@H]2O)OC1=O;IC50;'=';2800.0;nM;5.55;;;UO_0000065;13.02;0.24;0.51;5.73;0;CHEMBL4191645;Inhibition of recombinant His6-tagged human USP7 expressed in insect expression system using ubiquitin-Rh110 as substrate preincubated for 30 mins followed by substrate addition measured after 180 mins by fluorescence assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4190222;1;Scientific Literature;J Nat Prod;2017;None;
CHEMBL2432028;;0;152.18;0;0.98;1;O=c1[nH]cnc2sccc12;Activity;;;;;;Active;;;;;;0;CHEMBL4255851;Binding affinity to human N-terminal His6-tagged USP7 catalytic domain (208 to 555 residues) expressed in Escherichia coli at 200 uM by saturation transfer difference assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4251701;1;Scientific Literature;ACS Med Chem Lett;2018;None;
CHEMBL4743996;;0;491.52;0;2.54;L36;COC(=O)c1cccc(CN2CCC(O)(Cn3cnc4c(cnn4-c4ccc(F)cc4)c3=O)CC2)c1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4755412;;0;526.96;1;2.52;L53;O=C(NO)c1ccc(CN2CCC(O)(Cn3cnc4c(cnn4-c4ccc(F)cc4)c3=O)CC2)c(Cl)c1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4463468;;0;496.55;0;0.09;3;C=C[C@@]1(C)CCC2=C(C(=O)O[C@]23CCCC(C)(C)[C@@H]3C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]1O;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4321558;Inhibition of USP7 (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4316640;1;Scientific Literature;J Nat Prod;2019;None;
CHEMBL4792948;;0;267.29;0;2.67;1;CC(=O)Nc1nc2ccccn2c1-c1ccc(O)cc1;Kd;'=';680000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL4728084;Allosteric binding affinity to USP7 catalytic domain (unknown origin) at Met328, Trp285, Gly284, Gln405 and Gly313 residues by NMR-15N-1H TROSY spectral titration analysis;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4725339;1;Scientific Literature;Bioorg Med Chem Lett;2020;None;
CHEMBL4073748;;0;349.22;0;4.71;C4;CC(=O)c1nc([N+](=O)[O-])c(Sc2ccc(Cl)c(Cl)c2)s1;IC50;'=';18020.0;nM;4.74;;;UO_0000065;13.59;0.32;0.03;6.49;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4059609;;0;304.22;0;4.80;C1;CC(=O)c1ncc(Sc2cccc(Cl)c2Cl)s1;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
